client {"client":1, }
Initialization Complete
client {"client":2, }
Sending message to server.
client {"client":3, "server":3, }
Received message from server.
client {"client":4, "server":3, }
Sending message to server.
client {"client":5, "server":5, }
Received message from server.
client {"client":6, "server":5, }
Sending message to server.
client {"client":7, "server":7, }
Received message from server.
client {"client":8, "server":7, }
Sending message to server.
client {"client":9, "server":9, }
Received message from server.
client {"client":10, "server":9, }
Sending message to server.
client {"client":11, "server":11, }
Received message from server.
client {"client":12, "server":11, }
Sending message to server.
client {"client":13, "server":13, }
Received message from server.
client {"client":14, "server":13, }
Sending message to server.
client {"client":15, "server":15, }
Received message from server.
client {"client":16, "server":15, }
Sending message to server.
client {"client":17, "server":17, }
Received message from server.
client {"client":18, "server":17, }
Sending message to server.
client {"client":19, "server":19, }
Received message from server.
client {"client":20, "server":19, }
Sending message to server.
client {"client":21, "server":21, }
Received message from server.
